region,lat,lon,proba
0,39.179424627399996,-76.35078522576667,0.5508905066665452
1,40.7750162954,-111.930051922,0.6559098895383311
2,41.123370816685714,-92.89705715974286,0.4818155827170257
3,58.3141266064,-134.419996991,0.2837163792410451
4,21.3068764435,-157.857997886,0.29896436501512713
5,37.1853904409,-85.8266710833,0.5769447713048319
6,42.90995796325714,-71.83982272072858,0.4516672785022323
7,38.869434935550004,-120.61821669700001,0.8326368351134605
8,32.86849631655,-97.6307309385,0.7772510932842104
9,40.43959749255,-104.90186334399999,0.6327439045661427
10,45.98305757555,-122.9616653865,0.5897273259256522
11,34.929378274550004,-79.77233779065,0.7177869889271621
12,41.2417578319,-85.358392173,0.40977553423147905
13,33.5399798778,-112.069991701,0.9033748525319542
14,46.8083172802,-100.783316286,0.5633535151466489
15,33.517448953300004,-91.2580449847,0.5234905010939654
16,45.100669575050006,-114.1313904235,0.624012863606908
17,32.21386788503334,-84.98639076239999,0.7893621439110645
18,39.16485617985,-82.31136885755001,0.4650527432405825
19,35.6869289338,-105.937239422,0.7640980288126329
